국적지역,년,월,입국자수
대만,2018,1,69550
대만,2018,2,79099
대만,2018,3,89247
대만,2018,4,99119
대만,2018,5,90267
대만,2018,6,111680
대만,2018,7,110945
대만,2018,8,110695
대만,2018,9,99044
대만,2018,10,110313
대만,2018,11,103303
대만,2018,12,99218
대만,2019,1,80717
대만,2019,2,80409
대만,2019,3,84545
대만,2019,4,101957
대만,2019,5,92482
대만,2019,6,115411
대만,2019,7,115407
대만,2019,8,110190
대만,2019,9,100797
대만,2019,10,111706
대만,2019,11,104971
대만,2019,12,96941
대만,2023,1,86707
대만,2023,2,86366
대만,2023,3,90800
대만,2023,4,109489
대만,2023,5,99304
대만,2023,6,123912
대만,2023,7,123895
대만,2023,8,118283
대만,2023,9,108190
대만,2023,10,119887
대만,2023,11,112648
대만,2023,12,104022
대만,2024,1,99015
대만,2024,2,87445
대만,2024,3,113323
대만,2024,4,108532
대만,2024,5,99507
대만,2024,6,120763
대만,2024,7,117993
대만,2024,8,128558
대만,2024,9,110387
대만,2024,10,124113
대만,2024,11,115408
대만,2024,12,119754
대만,2025,1,111720
대만,2025,2,88291
대만,2025,3,79826
대만,2025,4,115791
대만,2025,5,104072
대만,2025,6,131883
대만,2025,7,133221
대만,2025,8,116454
대만,2025,9,111729
대만,2025,10,122532
대만,2025,11,115948
대만,2025,12,98918
대만,2026,1,124809
대만,2026,2,88888
대만,2026,3,74037
대만,2026,4,119185
대만,2026,5,106578
대만,2026,6,135984
대만,2026,7,137880
대만,2026,8,115304
대만,2026,9,113511
대만,2026,10,123821
대만,2026,11,117589
대만,2026,12,96397
러시아,2018,1,22974
러시아,2018,2,21230
러시아,2018,3,27822
러시아,2018,4,33144
러시아,2018,5,29952
러시아,2018,6,28346
러시아,2018,7,30982
러시아,2018,8,28293
러시아,2018,9,28518
러시아,2018,10,32604
러시아,2018,11,25986
러시아,2018,12,24860
러시아,2019,1,21455
러시아,2019,2,18791
러시아,2019,3,25116
러시아,2019,4,30632
러시아,2019,5,28819
러시아,2019,6,27162
러시아,2019,7,27094
러시아,2019,8,25896
러시아,2019,9,26608
러시아,2019,10,29541
러시아,2019,11,24218
러시아,2019,12,23866
러시아,2023,1,14591
러시아,2023,2,12739
러시아,2023,3,16976
러시아,2023,4,20635
러시아,2023,5,19351
러시아,2023,6,18176
러시아,2023,7,18069
러시아,2023,8,17209
러시아,2023,9,17618
러시아,2023,10,19491
러시아,2023,11,15919
러시아,2023,12,15630
러시아,2024,1,12966
러시아,2024,2,10705
러시아,2024,3,16081
러시아,2024,4,18212
러시아,2024,5,14986
러시아,2024,6,14138
러시아,2024,7,18409
러시아,2024,8,15429
러시아,2024,9,14840
러시아,2024,10,17863
러시아,2024,11,13395
러시아,2024,12,11884
러시아,2025,1,11300
러시아,2025,2,8805
러시아,2025,3,12303
러시아,2025,4,15677
러시아,2025,5,15791
러시아,2025,6,14619
러시아,2025,7,12023
러시아,2025,8,12691
러시아,2025,9,13441
러시아,2025,10,13984
러시아,2025,11,12078
러시아,2025,12,12449
러시아,2026,1,9601
러시아,2026,2,7041
러시아,2026,3,10124
러시아,2026,4,13210
러시아,2026,5,13732
러시아,2026,6,12587
러시아,2026,7,9373
러시아,2026,8,10489
러시아,2026,9,11275
러시아,2026,10,11362
러시아,2026,11,10090
러시아,2026,12,10603
말레이시아,2018,1,24210
말레이시아,2018,2,24192
말레이시아,2018,3,38809
말레이시아,2018,4,43447
말레이시아,2018,5,31410
말레이시아,2018,6,25612
말레이시아,2018,7,16603
말레이시아,2018,8,20128
말레이시아,2018,9,32411
말레이시아,2018,10,46835
말레이시아,2018,11,47314
말레이시아,2018,12,54432
말레이시아,2019,1,20048
말레이시아,2019,2,27401
말레이시아,2019,3,35647
말레이시아,2019,4,38928
말레이시아,2019,5,27896
말레이시아,2019,6,25741
말레이시아,2019,7,17119
말레이시아,2019,8,21441
말레이시아,2019,9,27725
말레이시아,2019,10,42730
말레이시아,2019,11,45211
말레이시아,2019,12,52474
말레이시아,2023,1,15434
말레이시아,2023,2,21064
말레이시아,2023,3,27366
말레이시아,2023,4,29839
말레이시아,2023,5,21351
말레이시아,2023,6,19671
말레이시아,2023,7,13063
말레이시아,2023,8,16335
말레이시아,2023,9,21088
말레이시아,2023,10,32451
말레이시아,2023,11,34280
말레이시아,2023,12,39723
말레이시아,2024,1,12291
말레이시아,2024,2,22716
말레이시아,2024,3,27301
말레이시아,2024,4,32023
말레이시아,2024,5,23619
말레이시아,2024,6,15016
말레이시아,2024,7,9026
말레이시아,2024,8,9762
말레이시아,2024,9,25296
말레이시아,2024,10,33000
말레이시아,2024,11,30400
말레이시아,2024,12,34078
말레이시아,2025,1,9506
말레이시아,2025,2,23856
말레이시아,2025,3,21697
말레이시아,2025,4,22485
말레이시아,2025,5,15911
말레이시아,2025,6,18771
말레이시아,2025,7,12908
말레이시아,2025,8,16777
말레이시아,2025,9,13985
말레이시아,2025,10,25529
말레이시아,2025,11,29648
말레이시아,2025,12,34775
말레이시아,2026,1,7071
말레이시아,2026,2,24475
말레이시아,2026,3,18988
말레이시아,2026,4,19170
말레이시아,2026,5,13549
말레이시아,2026,6,18086
말레이시아,2026,7,12575
말레이시아,2026,8,16513
말레이시아,2026,9,10911
말레이시아,2026,10,22356
말레이시아,2026,11,27250
말레이시아,2026,12,32078
미국,2018,1,60162
미국,2018,2,61399
미국,2018,3,92108
미국,2018,4,104278
미국,2018,5,98880
미국,2018,6,114577
미국,2018,7,100986
미국,2018,8,85375
미국,2018,9,90185
미국,2018,10,107815
미국,2018,11,85779
미국,2018,12,76298
미국,2019,1,61580
미국,2019,2,62465
미국,2019,3,91556
미국,2019,4,109418
미국,2019,5,100965
미국,2019,6,114121
미국,2019,7,104455
미국,2019,8,87490
미국,2019,9,92989
미국,2019,10,107719
미국,2019,11,88129
미국,2019,12,78840
미국,2023,1,66468
미국,2023,2,67415
미국,2023,3,98804
미국,2023,4,118069
미국,2023,5,110071
미국,2023,6,125724
미국,2023,7,116232
미국,2023,8,98353
미국,2023,9,105595
미국,2023,10,123504
미국,2023,11,102042
미국,2023,12,92147
미국,2024,1,74327
미국,2024,2,75644
미국,2024,3,121211
미국,2024,4,124146
미국,2024,5,125385
미국,2024,6,154082
미국,2024,7,127291
미국,2024,8,110523
미국,2024,9,116144
미국,2024,10,149078
미국,2024,11,113428
미국,2024,12,100351
미국,2025,1,84322
미국,2025,2,85179
미국,2025,3,120124
미국,2025,4,161085
미국,2025,5,141823
미국,2025,6,153760
미국,2025,7,153261
미국,2025,8,126903
미국,2025,9,137403
미국,2025,10,150519
미국,2025,11,131555
미국,2025,12,119675
미국,2026,1,94338
미국,2026,2,94611
미국,2026,3,130322
미국,2026,4,184094
미국,2026,5,157559
미국,2026,6,166505
미국,2026,7,172575
미국,2026,8,141370
미국,2026,9,153671
미국,2026,10,162960
미국,2026,11,146742
미국,2026,12,133902
베트남,2018,1,24833
베트남,2018,2,38127
베트남,2018,3,55922
베트남,2018,4,60151
베트남,2018,5,43106
베트남,2018,6,54070
베트남,2018,7,52502
베트남,2018,8,49415
베트남,2018,9,47698
베트남,2018,10,60299
베트남,2018,11,45918
베트남,2018,12,37394
베트남,2019,1,24476
베트남,2019,2,44937
베트남,2019,3,50770
베트남,2019,4,58269
베트남,2019,5,42549
베트남,2019,6,54662
베트남,2019,7,53447
베트남,2019,8,48182
베트남,2019,9,46406
베트남,2019,10,62054
베트남,2019,11,44387
베트남,2019,12,33967
베트남,2023,1,23613
베트남,2023,2,43351
베트남,2023,3,48976
베트남,2023,4,56208
베트남,2023,5,41043
베트남,2023,6,52726
베트남,2023,7,51552
베트남,2023,8,46473
베트남,2023,9,44759
베트남,2023,10,59850
베트남,2023,11,42810
베트남,2023,12,32759
베트남,2024,1,23400
베트남,2024,2,49752
베트남,2024,3,61596
베트남,2024,4,59678
베트남,2024,5,41360
베트남,2024,6,49293
베트남,2024,7,46993
베트남,2024,8,48260
베트남,2024,9,46928
베트남,2024,10,52688
베트남,2024,11,45466
베트남,2024,12,41459
베트남,2025,1,23323
베트남,2025,2,55991
베트남,2025,3,38956
베트남,2025,4,52707
베트남,2025,5,40120
베트남,2025,6,53865
베트남,2025,7,53192
베트남,2025,8,44023
베트남,2025,9,42355
베트남,2025,10,63000
베트남,2025,11,39715
베트남,2025,12,26427
베트남,2026,1,23375
베트남,2026,2,62061
베트남,2026,3,33939
베트남,2026,4,51045
베트남,2026,5,39745
베트남,2026,6,54445
베트남,2026,7,53936
베트남,2026,8,42780
베트남,2026,9,41211
베트남,2026,10,64473
베트남,2026,11,38117
베트남,2026,12,23415
싱가포르,2018,1,9152
싱가포르,2018,2,7877
싱가포르,2018,3,22359
싱가포르,2018,4,20532
싱가포르,2018,5,20470
싱가포르,2018,6,22410
싱가포르,2018,7,9389
싱가포르,2018,8,10788
싱가포르,2018,9,16614
싱가포르,2018,10,23322
싱가포르,2018,11,27363
싱가포르,2018,12,38230
싱가포르,2019,1,9704
싱가포르,2019,2,9400
싱가포르,2019,3,23803
싱가포르,2019,4,22811
싱가포르,2019,5,21149
싱가포르,2019,6,25202
싱가포르,2019,7,10415
싱가포르,2019,8,11666
싱가포르,2019,9,18378
싱가포르,2019,10,24406
싱가포르,2019,11,30088
싱가포르,2019,12,41568
싱가포르,2023,1,13674
싱가포르,2023,2,13236
싱가포르,2023,3,33496
싱가포르,2023,4,32077
싱가포르,2023,5,29720
싱가포르,2023,6,35390
싱가포르,2023,7,14615
싱가포르,2023,8,16360
싱가포르,2023,9,25755
싱가포르,2023,10,34180
싱가포르,2023,11,42109
싱가포르,2023,12,58041
싱가포르,2024,1,14292
싱가포르,2024,2,15453
싱가포르,2024,3,38626
싱가포르,2024,4,32495
싱가포르,2024,5,37185
싱가포르,2024,6,34452
싱가포르,2024,7,14781
싱가포르,2024,8,17845
싱가포르,2024,9,26128
싱가포르,2024,10,40826
싱가포르,2024,11,43477
싱가포르,2024,12,62074
싱가포르,2025,1,14875
싱가포르,2025,2,17845
싱가포르,2025,3,36559
싱가포르,2025,4,38193
싱가포르,2025,5,30444
싱가포르,2025,6,43245
싱가포르,2025,7,17366
싱가포르,2025,8,18506
싱가포르,2025,9,30437
싱가포르,2025,10,36112
싱가포르,2025,11,49376
싱가포르,2025,12,66253
싱가포르,2026,1,15430
싱가포르,2026,2,20412
싱가포르,2026,3,37873
싱가포르,2026,4,41360
싱가포르,2026,5,30480
싱가포르,2026,6,47463
싱가포르,2026,7,18789
싱가포르,2026,8,19551
싱가포르,2026,9,32837
싱가포르,2026,10,36804
싱가포르,2026,11,53155
싱가포르,2026,12,70331
영국,2018,1,8506
영국,2018,2,7607
영국,2018,3,13474
영국,2018,4,16640
영국,2018,5,12133
영국,2018,6,11049
영국,2018,7,12465
영국,2018,8,12904
영국,2018,9,12823
영국,2018,10,15857
영국,2018,11,11514
영국,2018,12,8938
영국,2019,1,8567
영국,2019,2,8073
영국,2019,3,12974
영국,2019,4,16584
영국,2019,5,12101
영국,2019,6,11162
영국,2019,7,13371
영국,2019,8,12644
영국,2019,9,12589
영국,2019,10,15546
영국,2019,11,11777
영국,2019,12,9223
영국,2023,1,8728
영국,2023,2,8225
영국,2023,3,13217
영국,2023,4,16895
영국,2023,5,12328
영국,2023,6,11371
영국,2023,7,13621
영국,2023,8,12881
영국,2023,9,12825
영국,2023,10,15837
영국,2023,11,11998
영국,2023,12,9396
영국,2024,1,8790
영국,2024,2,8695
영국,2024,3,14986
영국,2024,4,17400
영국,2024,5,12688
영국,2024,6,11282
영국,2024,7,11060
영국,2024,8,13864
영국,2024,9,13771
영국,2024,10,17116
영국,2024,11,11447
영국,2024,12,8700
영국,2025,1,8852
영국,2025,2,9162
영국,2025,3,12157
영국,2025,4,16789
영국,2025,5,12289
영국,2025,6,11643
영국,2025,7,15461
영국,2025,8,12283
영국,2025,9,12326
영국,2025,10,15215
영국,2025,11,12576
영국,2025,12,9985
영국,2026,1,8914
영국,2026,2,9623
영국,2026,3,11609
영국,2026,4,16742
영국,2026,5,12284
영국,2026,6,11801
영국,2026,7,16376
영국,2026,8,11950
영국,2026,9,12066
영국,2026,10,14912
영국,2026,11,12886
영국,2026,12,10284
오스트레일리아,2018,1,10195
오스트레일리아,2018,2,6163
오스트레일리아,2018,3,12232
오스트레일리아,2018,4,16986
오스트레일리아,2018,5,12716
오스트레일리아,2018,6,12704
오스트레일리아,2018,7,11136
오스트레일리아,2018,8,10686
오스트레일리아,2018,9,15833
오스트레일리아,2018,10,15980
오스트레일리아,2018,11,13311
오스트레일리아,2018,12,17593
오스트레일리아,2019,1,11988
오스트레일리아,2019,2,7655
오스트레일리아,2019,3,11835
오스트레일리아,2019,4,18250
오스트레일리아,2019,5,13488
오스트레일리아,2019,6,13880
오스트레일리아,2019,7,12297
오스트레일리아,2019,8,11938
오스트레일리아,2019,9,17396
오스트레일리아,2019,10,16004
오스트레일리아,2019,11,14039
오스트레일리아,2019,12,18652
오스트레일리아,2023,1,15499
오스트레일리아,2023,2,9883
오스트레일리아,2023,3,15260
오스트레일리아,2023,4,23500
오스트레일리아,2023,5,17347
오스트레일리아,2023,6,17827
오스트레일리아,2023,7,15775
오스트레일리아,2023,8,15295
오스트레일리아,2023,9,22261
오스트레일리아,2023,10,20456
오스트레일리아,2023,11,17924
오스트레일리아,2023,12,23786
오스트레일리아,2024,1,17760
오스트레일리아,2024,2,11791
오스트레일리아,2024,3,21586
오스트레일리아,2024,4,25088
오스트레일리아,2024,5,19222
오스트레일리아,2024,6,18055
오스트레일리아,2024,7,15404
오스트레일리아,2024,8,14322
오스트레일리아,2024,9,21866
오스트레일리아,2024,10,26266
오스트레일리아,2024,11,20024
오스트레일리아,2024,12,26149
오스트레일리아,2025,1,20198
오스트레일리아,2025,2,13809
오스트레일리아,2025,3,13059
오스트레일리아,2025,4,26068
오스트레일리아,2025,5,18774
오스트레일리아,2025,6,20474
오스트레일리아,2025,7,18460
오스트레일리아,2025,8,18243
오스트레일리아,2025,9,25682
오스트레일리아,2025,10,19369
오스트레일리아,2025,11,19249
오스트레일리아,2025,12,25837
오스트레일리아,2026,1,22808
오스트레일리아,2026,2,15926
오스트레일리아,2026,3,11630
오스트레일리아,2026,4,27371
오스트레일리아,2026,5,19478
오스트레일리아,2026,6,21875
오스트레일리아,2026,7,19879
오스트레일리아,2026,8,19793
오스트레일리아,2026,9,27400
오스트레일리아,2026,10,18559
오스트레일리아,2026,11,19907
오스트레일리아,2026,12,26879
인도네시아,2018,1,15679
인도네시아,2018,2,13437
인도네시아,2018,3,20977
인도네시아,2018,4,28054
인도네시아,2018,5,21499
인도네시아,2018,6,23650
인도네시아,2018,7,18051
인도네시아,2018,8,18066
인도네시아,2018,9,19023
인도네시아,2018,10,27544
인도네시아,2018,11,23875
인도네시아,2018,12,27170
인도네시아,2019,1,16171
인도네시아,2019,2,15743
인도네시아,2019,3,21419
인도네시아,2019,4,27118
인도네시아,2019,5,21016
인도네시아,2019,6,25533
인도네시아,2019,7,19514
인도네시아,2019,8,18866
인도네시아,2019,9,18583
인도네시아,2019,10,28411
인도네시아,2019,11,24241
인도네시아,2019,12,27165
인도네시아,2023,1,17907
인도네시아,2023,2,17430
인도네시아,2023,3,23709
인도네시아,2023,4,30012
인도네시아,2023,5,23255
인도네시아,2023,6,28249
인도네시아,2023,7,21587
인도네시아,2023,8,20866
인도네시아,2023,9,20550
인도네시아,2023,10,31415
인도네시아,2023,11,26801
인도네시아,2023,12,30031
인도네시아,2024,1,18472
인도네시아,2024,2,20067
인도네시아,2024,3,24572
인도네시아,2024,4,36484
인도네시아,2024,5,27641
인도네시아,2024,6,24877
인도네시아,2024,7,18788
인도네시아,2024,8,20225
인도네시아,2024,9,24265
인도네시아,2024,10,31779
인도네시아,2024,11,28392
인도네시아,2024,12,33327
인도네시아,2025,1,19099
인도네시아,2025,2,22819
인도네시아,2025,3,24400
인도네시아,2025,4,27493
인도네시아,2025,5,22109
인도네시아,2025,6,32673
인도네시아,2025,7,24885
인도네시아,2025,8,22512
인도네시아,2025,9,19317
인도네시아,2025,10,33265
인도네시아,2025,11,27476
인도네시아,2025,12,29871
인도네시아,2026,1,19784
인도네시아,2026,2,25676
인도네시아,2026,3,24634
인도네시아,2026,4,26064
인도네시아,2026,5,21546
인도네시아,2026,6,35057
인도네시아,2026,7,26589
인도네시아,2026,8,23297
인도네시아,2026,9,18601
인도네시아,2026,10,34201
인도네시아,2026,11,27786
인도네시아,2026,12,29764
일본,2018,1,145235
일본,2018,2,151451
일본,2018,3,317090
일본,2018,4,227766
일본,2018,5,256814
일본,2018,6,255470
일본,2018,7,252203
일본,2018,8,325581
일본,2018,9,278322
일본,2018,10,293858
일본,2018,11,309162
일본,2018,12,252839
일본,2019,1,155256
일본,2019,2,173967
일본,2019,3,291184
일본,2019,4,219143
일본,2019,5,243300
일본,2019,6,256103
일본,2019,7,263802
일본,2019,8,327559
일본,2019,9,271475
일본,2019,10,281246
일본,2019,11,291826
일본,2019,12,249332
일본,2023,1,146577
일본,2023,2,164230
일본,2023,3,274869
일본,2023,4,206850
일본,2023,5,229636
일본,2023,6,241703
일본,2023,7,248953
일본,2023,8,309101
일본,2023,9,256160
일본,2023,10,265363
일본,2023,11,275327
일본,2023,12,235221
일본,2024,1,155967
일본,2024,2,184350
일본,2024,3,329426
일본,2024,4,219274
일본,2024,5,254875
일본,2024,6,227792
일본,2024,7,203333
일본,2024,8,285343
일본,2024,9,259598
일본,2024,10,284651
일본,2024,11,308023
일본,2024,12,233072
일본,2025,1,165363
일본,2025,2,203436
일본,2025,3,225999
일본,2025,4,190995
일본,2025,5,205500
일본,2025,6,243448
일본,2025,7,269298
일본,2025,8,310748
일본,2025,9,242075
일본,2025,10,241424
일본,2025,11,243835
일본,2025,12,229641
일본,2026,1,174723
일본,2026,2,221475
일본,2026,3,201898
일본,2026,4,183466
일본,2026,5,194298
일본,2026,6,244726
일본,2026,7,278834
일본,2026,8,310776
일본,2026,9,234693
일본,2026,10,229641
일본,2026,11,228941
일본,2026,12,227508
캐나다,2018,1,12046
캐나다,2018,2,14465
캐나다,2018,3,18616
캐나다,2018,4,20415
캐나다,2018,5,19559
캐나다,2018,6,15501
캐나다,2018,7,17018
캐나다,2018,8,16241
캐나다,2018,9,17152
캐나다,2018,10,20626
캐나다,2018,11,15772
캐나다,2018,12,13426
캐나다,2019,1,11804
캐나다,2019,2,12893
캐나다,2019,3,18781
캐나다,2019,4,21092
캐나다,2019,5,19794
캐나다,2019,6,15468
캐나다,2019,7,16495
캐나다,2019,8,15707
캐나다,2019,9,17108
캐나다,2019,10,20146
캐나다,2019,11,16636
캐나다,2019,12,13961
캐나다,2023,1,11548
캐나다,2023,2,12613
캐나다,2023,3,18729
캐나다,2023,4,21476
캐나다,2023,5,20556
캐나다,2023,6,16389
캐나다,2023,7,17812
캐나다,2023,8,17292
캐나다,2023,9,19195
캐나다,2023,10,23016
캐나다,2023,11,19357
캐나다,2023,12,16531
캐나다,2024,1,13896
캐나다,2024,2,13904
캐나다,2024,3,22425
캐나다,2024,4,23658
캐나다,2024,5,24007
캐나다,2024,6,19887
캐나다,2024,7,23497
캐나다,2024,8,22939
캐나다,2024,9,23202
캐나다,2024,10,29527
캐나다,2024,11,19462
캐나다,2024,12,17233
캐나다,2025,1,16341
캐나다,2025,2,14477
캐나다,2025,3,28732
캐나다,2025,4,34066
캐나다,2025,5,31096
캐나다,2025,6,23950
캐나다,2025,7,24400
캐나다,2025,8,23518
캐나다,2025,9,27684
캐나다,2025,10,31664
캐나다,2025,11,30610
캐나다,2025,12,25215
캐나다,2026,1,18611
캐나다,2026,2,14337
캐나다,2026,3,34042
캐나다,2026,4,40953
캐나다,2026,5,36555
캐나다,2026,6,27702
캐나다,2026,7,27346
캐나다,2026,8,26336
캐나다,2026,9,32000
캐나다,2026,10,35786
캐나다,2026,11,36967
캐나다,2026,12,29900
태국,2018,1,43547
태국,2018,2,43061
태국,2018,3,55993
태국,2018,4,70021
태국,2018,5,51268
태국,2018,6,38939
태국,2018,7,34533
태국,2018,8,30670
태국,2018,9,35604
태국,2018,10,65492
태국,2018,11,49688
태국,2018,12,56247
태국,2019,1,41184
태국,2019,2,39729
태국,2019,3,56261
태국,2019,4,70095
태국,2019,5,50298
태국,2019,6,37569
태국,2019,7,33587
태국,2019,8,29185
태국,2019,9,34874
태국,2019,10,64059
태국,2019,11,49089
태국,2019,12,55686
태국,2023,1,30592
태국,2023,2,29318
태국,2023,3,41268
태국,2023,4,51071
태국,2023,5,36407
태국,2023,6,27007
태국,2023,7,23984
태국,2023,8,20695
태국,2023,9,24555
태국,2023,10,44987
태국,2024,2,24810
태국,2024,3,34443
태국,2024,4,42917
태국,2024,5,32464
태국,2024,6,25298
태국,2024,7,21939
태국,2024,8,20179
태국,2024,9,22008
태국,2024,10,39842
태국,2024,11,29093
태국,2024,12,32096
태국,2025,1,22737
태국,2025,2,20678
태국,2025,3,34792
태국,2025,4,42526
태국,2025,5,29058
태국,2025,6,20805
태국,2025,7,18767
태국,2025,8,15459
태국,2025,9,19458
태국,2025,10,35703
태국,2025,11,27997
태국,2025,12,31890
태국,2026,1,19111
태국,2026,2,16915
태국,2026,3,31263
태국,2026,4,37910
태국,2026,5,25348
태국,2026,6,17823
태국,2026,7,16209
태국,2026,8,13037
태국,2026,9,16919
태국,2026,10,31018
태국,2026,11,24612
태국,2026,12,28064
필리핀,2018,1,25601
필리핀,2018,2,21588
필리핀,2018,3,43208
필리핀,2018,4,53962
필리핀,2018,5,44858
필리핀,2018,6,41129
필리핀,2018,7,32171
필리핀,2018,8,35959
필리핀,2018,9,37131
필리핀,2018,10,55985
필리핀,2018,11,47078
필리핀,2018,12,45617
필리핀,2019,1,28945
필리핀,2019,2,26529
필리핀,2019,3,35294
필리핀,2019,4,54692
필리핀,2019,5,44311
필리핀,2019,6,39588
필리핀,2019,7,32354
필리핀,2019,8,37652
필리핀,2019,9,36429
필리핀,2019,10,54039
필리핀,2019,11,44481
필리핀,2019,12,42611
필리핀,2023,1,27037
필리핀,2023,2,24777
필리핀,2023,3,32962
필리핀,2023,4,51073
필리핀,2023,5,41376
필리핀,2023,6,36963
필리핀,2023,7,30206
필리핀,2023,8,35150
필리핀,2023,9,34006
필리핀,2023,10,50440
필리핀,2023,11,41516
필리핀,2023,12,39768
필리핀,2024,1,30108
필리핀,2024,2,29100
필리핀,2024,3,52104
필리핀,2024,4,45956
필리핀,2024,5,40149
필리핀,2024,6,38769
필리핀,2024,7,27852
필리핀,2024,8,28214
필리핀,2024,9,33506
필리핀,2024,10,52255
필리핀,2024,11,45802
필리핀,2024,12,45554
필리핀,2025,1,33143
필리핀,2025,2,33152
필리핀,2025,3,18712
필리핀,2025,4,52397
필리핀,2025,5,40269
필리핀,2025,6,34169
필리핀,2025,7,30545
필리핀,2025,8,37977
필리핀,2025,9,32487
필리핀,2025,10,46706
필리핀,2025,11,36787
필리핀,2025,12,34594
필리핀,2026,1,36130
필리핀,2026,2,36932
필리핀,2026,3,11903
필리핀,2026,4,53074
필리핀,2026,5,39707
필리핀,2026,6,32845
필리핀,2026,7,30732
필리핀,2026,8,39249
필리핀,2026,9,31656
필리핀,2026,10,44838
필리핀,2026,11,34523
필리핀,2026,12,32252
홍콩,2018,1,33092
홍콩,2018,2,44776
홍콩,2018,3,55268
홍콩,2018,4,65349
홍콩,2018,5,55602
홍콩,2018,6,63101
홍콩,2018,7,62461
홍콩,2018,8,68141
홍콩,2018,9,48025
홍콩,2018,10,64127
홍콩,2018,11,57343
홍콩,2018,12,68094
홍콩,2019,1,34738
홍콩,2019,2,43911
홍콩,2019,3,45945
홍콩,2019,4,67938
홍콩,2019,5,53026
홍콩,2019,6,58804
홍콩,2019,7,58162
홍콩,2019,8,63610
홍콩,2019,9,47184
홍콩,2019,10,61605
홍콩,2019,11,54342
홍콩,2019,12,61750
홍콩,2023,1,27438
홍콩,2023,2,34642
홍콩,2023,3,36207
홍콩,2023,4,53474
홍콩,2023,5,41688
홍콩,2023,6,46174
홍콩,2023,7,45616
홍콩,2023,8,49828
홍콩,2023,9,36915
홍콩,2023,10,48139
홍콩,2023,11,42410
홍콩,2023,12,48132
홍콩,2024,1,28087
홍콩,2024,2,33281
홍콩,2024,3,48371
홍콩,2024,4,37099
홍콩,2024,5,38165
홍콩,2024,6,45313
홍콩,2024,7,44922
홍콩,2024,8,48748
홍콩,2024,9,30873
홍콩,2024,10,42979
홍콩,2024,11,39383
홍콩,2024,12,50860
홍콩,2025,1,28421
홍콩,2025,2,31725
홍콩,2025,3,22599
홍콩,2025,4,54485
홍콩,2025,5,36235
홍콩,2025,6,38351
홍콩,2025,7,37908
홍콩,2025,8,41687
홍콩,2025,9,34104
홍콩,2025,10,42473
홍콩,2025,11,36380
홍콩,2025,12,37708
홍콩,2026,1,28426
홍콩,2026,2,29982
홍콩,2026,3,16893
홍콩,2026,4,54110
홍콩,2026,5,33414
홍콩,2026,6,34586
홍콩,2026,7,34239
홍콩,2026,8,37816
홍콩,2026,9,32457
홍콩,2026,10,39486
홍콩,2026,11,33339
홍콩,2026,12,32979
